Acc,Loss,Elapsed,Nodes,Arch
98.14,0.011769521050155163,18.862786054611206,3219.0,1x76-1x80
98.13,0.01881132274866104,18.533143043518066,2990.0,1x72-1x88
98.12,0.015801630914211273,15.587004899978638,3027.0,1x74-1x86
98.14,0.01559150218963623,21.432739973068237,3111.0,1x80-1x82
98.06,0.019118430092930794,18.184666872024536,3002.0,1x72-1x84
98.0,0.03579801693558693,23.916676998138428,12465.0,1x71-1x78
98.17,0.02560448832809925,17.662819862365723,3097.0,1x70-1x85
98.23,0.01662895642220974,19.86981701850891,3154.0,1x77-1x81
98.12,0.03467791527509689,18.43229603767395,2945.0,1x71-1x81
97.98,0.026458756998181343,26.192081212997437,21026.0,1x66-1x78
