ARCH	EPOCHS	ID	DELTA	optionals	Acc	Loss	Time	Nodes	Pruned_arch
2x15	50.0	10000.0	20		95.97	0.036559853702783585	0.2511100769042969	1.0	"2x15
"
2x15	50.0	10000.0	20		95.56	0.04985944554209709	0.2026209831237793	1.0	"2x15
"
2x15	50.0	10000.0	20		95.55	0.0664011761546135	0.19068288803100586	1.0	"2x15
"
2x25	50.0	10000.0	20		96.56	0.11194175481796265	0.5124120712280273	1.0	"2x25
"
2x25	50.0	10000.0	20		96.75	0.041130878031253815	0.43808794021606445	1.0	"2x25
"
2x25	50.0	10000.0	20		96.55	0.008567617274820805	0.3566601276397705	1.0	"2x25
"
