ARCH	EPOCHS	REG	LAMB	ALPHA	FT	ID	optionals	Acc	Loss	Time	Nodes	Pruned_arch
2x15	50.0	spr	0.1	0.1	10.0	10000.0		95.87	0.015142612159252167	0.2933039665222168	1.0	"2x15
"
2x15	50.0	spr	0.1	0.1	10.0	10000.0		95.82	0.04810880497097969	0.3613159656524658	41.0	"1x13-1x15
"
2x15	50.0	spr	0.1	0.1	10.0	10000.0		95.32	0.15840290486812592	0.30768609046936035	55.0	"1x13-1x15
"
2x15	50.0	spr	0.1	0.5	10.0	10000.0		96.05	0.04660062864422798	0.547231912612915	205.0	"1x13-1x15
"
2x15	50.0	spr	0.1	0.5	10.0	10000.0		96.19	0.1950472742319107	0.7601339817047119	164.0	"2x15
"
2x15	50.0	spr	0.1	0.5	10.0	10000.0		94.95	0.19377052783966064	0.5369880199432373	266.0	"1x14-1x15
"
2x15	50.0	spr	0.1	0.9	10.0	10000.0		96.14	0.07217161357402802	0.32963013648986816	7.0	"2x15
"
2x15	50.0	spr	0.1	0.9	10.0	10000.0		96.41	0.03672081604599953	0.4156198501586914	69.0	"2x15
"
2x15	50.0	spr	0.1	0.9	10.0	10000.0		95.71	0.16058911383152008	0.3313720226287842	60.0	"2x15
"
2x15	50.0	spr	0.5	0.1	10.0	10000.0		95.86	0.07102034240961075	0.5114789009094238	162.0	"2x15
"
2x15	50.0	spr	0.5	0.1	10.0	10000.0		95.9	0.04520690441131592	0.4006359577178955	36.0	"1x15-1x13
"
2x15	50.0	spr	0.5	0.1	10.0	10000.0		95.77	0.07784310728311539	0.35650014877319336	80.0	"1x15-1x13
"
2x15	50.0	spr	0.5	0.5	10.0	10000.0		95.81	0.07692698389291763	0.47121691703796387	55.0	"2x15
"
2x15	50.0	spr	0.5	0.5	10.0	10000.0		95.6	0.08789034932851791	0.40111804008483887	28.0	"1x15-1x13
"
2x15	50.0	spr	0.5	0.5	10.0	10000.0		95.65	0.13691216707229614	0.37912702560424805	15.0	"1x15-1x14
"
2x15	50.0	spr	0.5	0.9	10.0	10000.0		94.38	0.1896209567785263	0.25896191596984863	29.0	"1x11-1x14
"
2x15	50.0	spr	0.5	0.9	10.0	10000.0		95.32	0.04713353514671326	0.266110897064209	31.0	"1x12-1x15
"
2x15	50.0	spr	0.5	0.9	10.0	10000.0		94.34	0.16327126324176788	0.23882102966308594	7.0	"1x11-1x14
"
2x15	50.0	spr	1.0	0.1	10.0	10000.0		95.78	0.12816393375396729	0.36814284324645996	38.0	"1x15-1x14
"
2x15	50.0	spr	1.0	0.1	10.0	10000.0		95.81	0.1240130364894867	0.4924001693725586	54.0	"2x13
"
2x15	50.0	spr	1.0	0.1	10.0	10000.0		95.99	0.13771571218967438	0.39330410957336426	77.0	"1x15-1x13
"
2x15	50.0	spr	1.0	0.5	10.0	10000.0		95.58	0.15922397375106812	0.40387892723083496	113.0	"1x14-1x13
"
2x15	50.0	spr	1.0	0.5	10.0	10000.0		95.86	0.1845768243074417	0.3028678894042969	7.0	"1x14-1x12
"
2x15	50.0	spr	1.0	0.5	10.0	10000.0		95.44	0.12067237496376038	0.3608429431915283	164.0	"2x14
"
2x15	50.0	spr	1.0	0.9	10.0	10000.0		93.98	0.12536700069904327	0.19431591033935547	13.0	"1x8-1x14
"
2x15	50.0	spr	1.0	0.9	10.0	10000.0		92.98	0.3517273962497711	0.10230708122253418	1.0	"1x7-1x12
"
2x15	50.0	spr	1.0	0.9	10.0	10000.0		93.07	0.1689847856760025	0.19209003448486328	11.0	"1x9-1x14
"
2x25	50.0	spr	0.1	0.1	10.0	10000.0		96.81	0.10247095674276352	1.2152159214019775	474.0	"1x24-1x25
"
2x25	50.0	spr	0.1	0.1	10.0	10000.0		96.72	0.0712653174996376	0.8020808696746826	662.0	"1x21-1x25
"
2x25	50.0	spr	0.1	0.1	10.0	10000.0		96.65	0.11032330989837646	1.1532871723175049	1054.0	"1x21-1x25
"
2x25	50.0	spr	0.1	0.5	10.0	10000.0		97.1	0.056352440267801285	0.5482261180877686	26.0	"1x24-1x25
"
2x25	50.0	spr	0.1	0.5	10.0	10000.0		97.2	0.040223486721515656	0.5755319595336914	97.0	"1x22-1x25
"
2x25	50.0	spr	0.1	0.5	10.0	10000.0		96.75	0.11104133725166321	0.77799391746521	870.0	"1x21-1x25
"
2x25	50.0	spr	0.1	0.9	10.0	10000.0		97.06	0.10862597823143005	0.6563010215759277	95.0	"2x25
"
2x25	50.0	spr	0.1	0.9	10.0	10000.0		97.27	0.09567245095968246	0.6726729869842529	72.0	"1x24-1x25
"
2x25	50.0	spr	0.1	0.9	10.0	10000.0		96.61	0.05551065504550934	0.9353330135345459	1067.0	"1x24-1x25
"
2x25	50.0	spr	0.5	0.1	10.0	10000.0		96.76	0.05265611410140991	0.650947093963623	122.0	"1x25-1x18
"
2x25	50.0	spr	0.5	0.1	10.0	10000.0		96.93	0.026995910331606865	0.6407170295715332	41.0	"1x25-1x20
"
2x25	50.0	spr	0.5	0.1	10.0	10000.0		96.79	0.02982380799949169	0.8324811458587646	87.0	"1x25-1x21
"
2x25	50.0	spr	0.5	0.5	10.0	10000.0		96.42	0.09043314307928085	0.3925628662109375	31.0	"1x21-1x19
"
2x25	50.0	spr	0.5	0.5	10.0	10000.0		96.56	0.0917947068810463	0.5571808815002441	50.0	"1x24-1x21
"
2x25	50.0	spr	0.5	0.5	10.0	10000.0		96.64	0.038730986416339874	0.8228158950805664	661.0	"1x24-1x19
"
2x25	50.0	spr	0.5	0.9	10.0	10000.0		96.65	0.03951181098818779	1.2806289196014404	1371.0	"1x19-1x22
"
2x25	50.0	spr	0.5	0.9	10.0	10000.0		96.23	0.061559032648801804	0.7713379859924316	454.0	"1x15-1x23
"
2x25	50.0	spr	0.5	0.9	10.0	10000.0		96.13	0.07433795183897018	0.525907039642334	463.0	"1x15-1x21
"
2x25	50.0	spr	1.0	0.1	10.0	10000.0		96.74	0.11801265925168991	0.5995638370513916	53.0	"1x25-1x18
"
2x25	50.0	spr	1.0	0.1	10.0	10000.0		96.88	0.06900016218423843	0.5442960262298584	67.0	"1x25-1x19
"
2x25	50.0	spr	1.0	0.1	10.0	10000.0		96.84	0.04214511439204216	1.073836088180542	516.0	"1x22-1x17
"
2x25	50.0	spr	1.0	0.5	10.0	10000.0		96.78	0.0574316643178463	0.7298400402069092	80.0	"1x25-1x21
"
2x25	50.0	spr	1.0	0.5	10.0	10000.0		96.43	0.044073086231946945	0.9647607803344727	156.0	"1x25-1x17
"
2x25	50.0	spr	1.0	0.5	10.0	10000.0		96.24	0.11047685891389847	0.6146841049194336	6.0	"1x25-1x20
"
2x25	50.0	spr	1.0	0.9	10.0	10000.0		95.56	0.08575735241174698	0.35239601135253906	7.0	"1x13-1x20
"
2x25	50.0	spr	1.0	0.9	10.0	10000.0		95.5	0.1698998361825943	0.3302760124206543	51.0	"1x12-1x21
"
2x25	50.0	spr	1.0	0.9	10.0	10000.0		95.57	0.05124739184975624	0.4002199172973633	77.0	"1x14-1x19
"
